"Expediente","Número resolución","Fecha Publicación","Alcance Gaceta","Gaceta","Producto","Tipo de Cambio","Precio Referencia Internacional","Precio Referencia Internacional en colones","Costo adquisión dólar por barril","Costo adquisión en colones por litro","Otros Ingresos Prorrateados","Asignación Subsidio Pescadores","Asignación subsidio Política Sectorial","Asignación subsidio Políticas del Gobierno","Subsidio Pescadores","Subsidio Política Sectorial","Subsidio cruzado políticas de gobierno","Diferencial de precios","Liquidación extraordinaria","Impuesto Único","Canon","Margen de operación de Recope","Rendimiento sobre Base Tarifaria","Liquidación Ordinaria","Precio en terminal sin impuesto","Ley 9840","Precio en terminal con impuesto","Margen comercializador","Precio final sin punto fijo (Peddlers)","Margen Estaciones Terrestres","Margen Estaciones Aéreas","Flete estaciones de servicio","Margen Envasador","Precio estaciones de servicio sin IVA","IVA de Transportista","Precio final en estaciones de servicio
","Margen Distribuidor y Agencias","Margen Detallista","Precio gas por litro en detallistas
","Precio Terminal sin impuesto ni subsidio Sectorial","Rige","Límite Inferior Banda","Límite Superior Banda","Densidad de referencia expresado en kgs","Precio en terminal con impuesto masa","Precio final sin punto fijo masa (Peddlers)","Margen de comercializador masa","ID SIET","Observaciones"
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Gasolina RON 95","509.23273","","","88.26387","282.70772","","0.12091","13.43594","","","","","2.11924","-1.17921","275","0.67676","26.72986","10.97","","335.58122","","610.58122","3.75","614.33122","56.68","","12.77","","680.03122","1.66","682","","","","322.14528","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Gasolina RON 91","509.23273","","","85.6104","274.20868","","0.12091","13.43594","","","","","11.2019","-0.15846","262.75","0.67676","26.50986","11.17","","337.16559","","599.91559","3.75","603.66559","56.68","","12.77","","669.36559","1.66","671","","","","323.72964","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Gasolina RON 91 (pescadores)","509.23273","","","85.6104","274.20868","","","","","-17.3488","","","","","","","26.50986","","","283.36974","","283.36974","","","","","","","","","","","","","283.36974","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Diésel para uso automotriz de 50 ppm de azufre","509.23273","","","98.84433","316.59676","","0.12091","13.43594","","","","","-2.07563","-1.45748","155.5","0.67676","26.77986","11.64","","365.71713","","521.21713","3.75","524.96713","56.68","","12.77","","590.66713","1.66","592","","","","352.28118","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Diésel uso automotriz 50 ppm azufre (pescadores)","509.23273","","","98.84433","316.59676","","","","","-17.39986","","","","","","","26.77986","","","325.97677","","325.97677","","","","","","","","","","","","","325.97677","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Diésel marino","509.23273","","","268.30825","859.38687","","","","","","","","","","155.5","0.67676","26.77986","11.64","","898.48349","","1053.98349","","","","","","","","","","","","","898.48349","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Keroseno","509.23273","","","100.58395","322.16872","","0.12091","13.43594","","","","","","-0.97226","75","0.67676","25.10986","10.27","","370.80994","","445.80994","3.75","449.55994","56.68","","12.77","","515.25994","1.66","517","","","","357.37399","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Bunker","509.23273","","","75.98698","243.38503","","0.12091","","","","-48.68349","","0.57431","0.8786","25.5","0.67676","50.12986","13.45","","260.53198","","286.03198","3.75","289.78198","","","","","","","","","","","309.21547","True","","","991.65","288.44046","292.22204","3.78158","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Bunker Térmico ICE","509.23273","","","83.60991","267.80114","","","","","","10.31971","","","","25.5","0.67676","14.89986","3.19","","296.88747","","322.38747","","","","","","","","","","","","","286.56776","True","","","929.22","346.94418","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Bunker Térmico ICE 2","509.23273","","","76.46287","244.90931","","0.12091","","","","-23.1634","","1.59648","-5.23198","25.5","0.67676","14.89986","3.19","","236.99793","","262.49793","","","","","","","","","","","","","260.16134","True","","","967.2","271.39985","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","IFO 380","509.23273","","","162.38051","520.10207","","","","","","","","","","","0.67676","42.08986","12.72","","575.58869","","575.58869","","","","","","","","","","","","","575.58869","True","557.66","593.52","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Asfalto","509.23273","","","74.97849","240.15486","","","","","","","","5.37137","1.90485","53.25","0.67676","58.85986","16.2","","323.1677","","376.4177","3.75","380.1677","","","","","","","","","","","323.1677","True","","","1024.33333","367.47579","371.13671","3.66092","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Asfalto PG-64-22","509.23273","","","73.9976","237.01307","","0.12091","","","","","","5.37137","1.90485","53.25","0.67676","58.85986","16.2","","320.14682","","373.39682","3.75","377.14682","","","","","","","","","","","320.14682","True","","","1028.5","363.0499","366.69598","3.64609","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Asfalto AC-10","509.23273","","","74.21643","237.71399","","","","","","","","","","53.25","0.67676","59.06707","16.2","","313.65782","","366.90782","3.75","370.65782","","","","","","","","","","","313.65782","True","","","1025.3395","357.84032","361.49765","3.65733","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Diésel pesado o gasóleo","509.23273","","","85.8705","275.04178","","0.12091","13.43594","","","","","","2.91806","51.5","0.67676","22.87986","6.07","","321.14332","","372.64332","3.75","376.39332","","","","","","","","","","","307.70737","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Emulsión asfáltica rápida (RR)","509.23273","","","48.27947","154.63834","","0.12091","","","","","","","0.08126","40.5","0.67676","27.00986","13.78","","196.30713","","236.80713","3.75","240.55713","","","","","","","","","","","196.30713","True","","","1005.625","235.48254","239.21157","3.72902","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Emulsión asfáltica lenta (RL)","509.23273","","","48.09844","154.0585","","0.12091","","","","","","","-0.11827","40.5","0.67676","16.55986","13.78","","185.07775","","225.57775","3.75","229.32775","","","","","","","","","","","185.07775","True","","","1001","225.3524","229.09866","3.74625","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","LPG (70-30)","509.23273","","","51.00082","163.35479","","0.12091","","","","-56.02585","","3.44366","0.08621","24","0.67676","21.95986","10.56","","144.17633","","168.17633","","","56.68","","","59.86","284.71633","","285","61.645","70.885","","200.20219","True","","","531.44308","316.45221","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","LPG (rico en propano)","509.23273","","","78.20089","250.47616","","","","","","-33.93036","","","","24","0.67676","22.08986","10.56","","249.87242","","273.87242","","","56.68","","","59.86","390.41242","","390","61.645","70.885","","283.80278","True","","","507.5","539.65009","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Av-Gas","509.23273","","","173.47124","555.62552","","0.12091","13.43594","","","","","-77.55","-4.86111","262.75","0.67676","52.34986","30.22","","570.01788","","832.76788","","","","17.27","","","850.03788","","850","","","","556.58194","True","772.68","892.85","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Jet fuel A-1","509.23273","","","89.32836","286.11726","","","","","","","","4.69375","-1.09636","157.5","0.67676","54.12986","14.07","","358.59127","","516.09127","","","","17.27","","","533.36127","","533","","","","358.59127","True","467.74","564.44","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Jet fuel A","509.23273","","","100.58395","322.16872","","0.12091","","","","","","4.69375","-1.09636","157.5","0.67676","54.12986","14.07","","394.76364","","552.26364","","","","17.27","","","569.53364","","570","","","","394.76364","True","503.66","600.86","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Nafta pesada","509.23273","","","86.93713","278.4582","","","","","","","","","","38","0.67676","17.69986","10.5","","307.33482","","345.33482","3.75","349.08482","","","","","","","","","","","307.33482","True","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Gasolina RON 95","506.45545","","","84.61024","269.52719","","0.13794","13.84376","","","","","2.11924","-1.17921","275","0.67676","26.72986","10.97","","322.82553","","597.82553","3.75","601.57553","56.68","","12.77","","667.27553","1.66","669","","","","308.98177","False","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Gasolina RON 91","506.45545","","","79.52267","253.32066","","0.13794","13.84376","","","","","11.2019","-0.15846","262.75","0.67676","26.50986","11.17","","316.70242","","579.45242","3.75","583.20242","56.68","","12.77","","648.90242","1.66","651","","","","302.85866","False","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Gasolina RON 91 (pescadores)","506.45545","","","79.52267","253.32066","","","","","-17.3488","","","","","","","26.50986","","","262.48172","","262.48172","","","","","","","","","","","","","262.48172","False","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Diésel para uso automotriz de 50 ppm de azufre","506.45545","","","89.44159","284.91751","","0.13794","13.84376","","","","","-2.07563","-1.45748","155.5","0.67676","26.77986","11.64","","334.46272","","489.96272","3.75","493.71272","56.68","","12.77","","559.41272","1.66","561","","","","320.61895","False","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Diésel uso automotriz 50 ppm azufre (pescadores)","506.45545","","","89.44159","284.91751","","","","","-17.39986","","","","","","","26.77986","","","294.29751","","294.29751","","","","","","","","","","","","","294.29751","False","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Diésel marino","506.45545","","","269.77958","859.38687","","","","","","","","","","155.5","0.67676","26.77986","11.64","","898.48349","","1053.98349","","","","","","","","","","","","","898.48349","False","","","","","","","",""
